Code	Incipit	Rubrica	File	Source	Duplicate of		
P5F6N1L2		2 P. 1: 5-9	x	AELF			
P5F6N1L3		2 P. 1: 10-15	x	AELF			
P5F7N1L1	De Epístola secúnda beáti Petri Apóstoli	2 P. 3: 1-7	x	AELF			
P5F7N1L2		2 P. 3: 8-13	x	AELF			
P5F7N1L3		2 P. 3: 14-18	x	AELF			
P6F1N1L1	Incipit Epístola prima beáti Joánnis Apóstoli	1 Jn. 1: 1-5	x	AELF			
P6F1N1L2		1 Jn. 1: 6-10	x	AELF			
P6F1N1L3		1 Jn. 2: 1-6	x	AELF			
P6F2N1L1	De Epístola prima beáti Joánnis Apóstoli	1 Jn. 3: 1-6	x	AELF			
P6F2N1L2		1 Jn. 3: 7-12	x	AELF			
P6F2N1L3		1 Jn. 3: 13-18	x	AELF			
P6F3N1L1	De Epístola prima beáti Joánnis Apóstoli	1 Jn. 4: 1-6	x	AELF			
P6F3N1L2		1 Jn. 4: 7-14	x	AELF			
P6F3N1L3		1 Jn. 4: 15-21	x	AELF			
P6F4N1L1	Incipit Epístola secúnda beáti Joánnis Apóstoli	2 Jn. 1: 1-5	x	AELF			
P6F4N1L2		2 Jn. 1: 6-9	x	AELF			
P6F4N1L3		2 Jn. 1: 10-13	x	AELF			
P6F5N1L1	De Epístola beáti Pauli Apóstoli ad Ephésios	Ep. 4: 1-8	x	AELF			
P6F5N1L2		Ep. 4: 9-14	x	AELF			
P6F5N1L3		Ep. 4: 15-21	x	AELF			
P6F6N1L1	Incipit Epístola tértia beáti Joánnis Apóstoli	3 Jn. 1: 1-4	x	AELF			
P6F6N1L2		3 Jn. 1: 5-10	x	AELF			
P6F6N1L3		3 Jn. 1: 11-15	x	AELF			
P6F7N1L1	Incipit Epístola cathólica beáti Judæ Apóstoli	Jd. 1: 1-4	x	AELF			
P6F7N1L2		Jd. 1: 5-8	x	AELF			
P6F7N1L3		Jd. 1: 9-13	x	AELF			
H1F1N1L1	De Isaía Prophéta	Is. 6: 1-4					
H1F1N1L2		Is. 6: 5-8					
H1F1N1L3		Is. 6: 9-12					
H1F2L1	Incipit liber primus Regum	1 S. 1: 1-3					
H1F2L2		1 S. 1: 4-8					
H1F2L3		1 S. 1: 9-11					
